SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -675.655 13.029 -2.066 -18.516 -1.309 -16.65 -1.177 801.249 1414.173 612.924 10.0 0.146 1.213 0.46 -3.677 -1486.97 294.591 3.807 130.722 418.877 -12.077 171.882 0.193 -10.283 -13.6 -17.915 -206.6 3.0 327.0 54.0 106.911 -7.639 0.0 -1.266 3.28 -27.581 -21.2 0.0 0.0 -1.296 -57.005 -1.135 -11.349 c.11.1
SCORE: -658.817 13.417 -2.015 -18.593 -1.39 -12.041 -0.9 744.858 1337.381 592.524 11.0 0.145 1.173 0.465 -3.644 -1491.333 296.97 3.842 131.286 411.222 -12.294 196.897 0.43 -9.312 -14.299 -18.942 -205.822 4.0 327.0 52.0 108.273 -8.009 0.0 -0.956 3.247 -27.482 -21.2 0.0 0.0 -0.928 -38.97 -1.072 -10.72 c.11.10
SCORE: -616.821 11.967 -1.886 -2.627 -0.19 21.507 1.559 846.299 1379.919 533.619 7.0 0.146 1.224 0.458 -3.669 -1502.41 313.549 4.453 133.043 416.253 -12.269 223.499 -0.062 -8.9 -12.801 -18.045 -207.186 2.0 327.0 47.0 108.308 -6.493 0.0 -0.576 3.176 -27.955 -21.2 0.0 0.0 -0.814 -30.122 0.303 3.033 c.11.100
SCORE: -612.264 13.242 -1.872 -13.908 -1.044 5.403 0.405 818.908 1332.605 513.697 13.0 0.146 1.206 0.461 -3.69 -1516.172 309.863 3.715 131.844 425.519 -12.284 240.408 -0.37 -8.8 -14.976 -17.955 -207.463 3.0 327.0 55.0 107.581 -6.877 0.0 -0.359 3.15 -26.742 -21.2 0.0 0.0 -0.337 -15.18 -0.457 -4.573 c.11.101
SCORE: -607.542 13.121 -1.858 -17.952 -1.33 9.495 0.703 800.401 1349.981 549.58 13.0 0.146 1.165 0.461 -3.643 -1503.966 320.509 4.171 131.041 418.108 -11.368 230.255 -0.179 -9.058 -13.792 -18.628 -205.954 3.0 327.0 53.0 107.159 -7.561 0.0 -0.426 3.177 -28.563 -21.2 0.0 0.0 -0.312 -13.429 -0.916 -9.16 c.11.102
SCORE: -613.752 14.128 -1.877 -17.429 -1.152 -11.213 -0.741 903.149 1513.4 610.251 8.0 0.145 1.206 0.458 -3.67 -1489.765 303.876 3.84 135.921 413.669 -11.323 223.232 0.222 -10.694 -12.846 -16.832 -206.391 2.0 327.0 51.0 107.166 -7.046 0.0 -0.654 3.262 -26.76 -21.2 0.0 0.0 -0.708 -29.042 -0.432 -4.323 c.11.103
SCORE: -615.134 13.5 -1.881 -17.988 -1.319 5.622 0.412 916.662 1363.612 446.95 11.0 0.147 1.219 0.455 -3.678 -1499.987 311.962 4.149 132.264 419.688 -11.445 221.726 -0.467 -7.825 -13.38 -20.668 -206.558 2.0 327.0 54.0 109.885 -7.768 0.0 -0.629 3.231 -27.35 -21.2 0.0 0.0 -0.653 -28.732 -0.524 -5.242 c.11.104
SCORE: -608.992 13.139 -1.862 -5.883 -0.431 26.295 1.928 791.327 1363.596 572.269 6.0 0.146 1.179 0.458 -3.644 -1511.143 315.949 3.77 131.564 422.484 -11.73 232.666 -0.063 -8.552 -13.631 -18.972 -205.792 2.0 327.0 52.0 107.865 -7.42 0.0 0.06 3.227 -26.214 -21.2 0.0 0.0 -0.01 -0.438 0.354 3.536 c.11.105
SCORE: -591.718 14.059 -1.81 -5.338 -0.403 41.764 3.154 781.976 1324.214 542.238 14.0 0.146 1.219 0.455 -3.665 -1498.437 319.676 4.125 134.898 417.835 -11.295 229.638 -0.101 -12.014 -12.676 -17.848 -207.104 3.0 327.0 52.0 112.696 -5.759 0.0 -0.232 3.185 -25.591 -21.2 0.0 0.0 -0.537 -22.534 1.046 10.456 c.11.106
SCORE: -566.55 14.619 -1.733 -20.627 -1.345 -13.828 -0.902 915.57 1533.125 617.555 13.0 0.146 1.214 0.458 -3.676 -1500.7 302.801 3.667 136.722 418.318 -11.842 275.442 -0.0 -8.548 -12.949 -15.169 -207.451 0.0 327.0 57.0 108.047 -7.716 0.0 -1.211 3.384 -27.498 -21.2 0.0 0.0 -1.359 -63.884 -0.513 -5.133 c.11.107
